"","date","station","ridership"
"1",2015-01-01,"Metro1",1291
"2",2015-01-01,"RERA",11209
"3",2015-01-02,"Metro1",7986
"4",2015-01-02,"RERA",57141
"5",2015-01-03,"Metro1",4710
"6",2015-01-03,"RERA",34691
"7",2015-01-04,"Metro1",2939
"8",2015-01-04,"RERA",23212
"9",2015-01-05,"Metro1",14497
"10",2015-01-05,"RERA",115406
"11",2015-01-06,"Metro1",15596
"12",2015-01-06,"RERA",121968
"13",2015-01-07,"Metro1",16700
"14",2015-01-07,"RERA",121301
"15",2015-01-08,"Metro1",16199
"16",2015-01-08,"RERA",123541
"17",2015-01-09,"Metro1",11972
"18",2015-01-09,"RERA",115678
"19",2015-01-10,"Metro1",5741
"20",2015-01-10,"RERA",45916
"21",2015-01-11,"Metro1",0
"22",2015-01-11,"RERA",14
"23",2015-01-12,"Metro1",15704
"24",2015-01-12,"RERA",121369
"25",2015-01-13,"Metro1",16240
"26",2015-01-13,"RERA",124659
"27",2015-01-14,"Metro1",16144
"28",2015-01-14,"RERA",121930
"29",2015-01-15,"Metro1",16822
"30",2015-01-15,"RERA",126574
"31",2015-01-16,"Metro1",18377
"32",2015-01-16,"RERA",125276
"33",2015-01-17,"Metro1",6114
"34",2015-01-17,"RERA",49645
"35",2015-01-18,"Metro1",4026
"36",2015-01-18,"RERA",31360
"37",2015-01-19,"Metro1",15992
"38",2015-01-19,"RERA",124997
"39",2015-01-20,"Metro1",16306
"40",2015-01-20,"RERA",126486
"41",2015-01-21,"Metro1",16154
"42",2015-01-21,"RERA",124475
"43",2015-01-22,"Metro1",17120
"44",2015-01-22,"RERA",128300
"45",2015-01-23,"Metro1",16519
"46",2015-01-23,"RERA",123917
"47",2015-01-24,"Metro1",6144
"48",2015-01-24,"RERA",46645
"49",2015-01-25,"Metro1",3815
"50",2015-01-25,"RERA",29976
"51",2015-01-26,"Metro1",15683
"52",2015-01-26,"RERA",120687
"53",2015-01-27,"Metro1",15509
"54",2015-01-27,"RERA",127698
"55",2015-01-28,"Metro1",16009
"56",2015-01-28,"RERA",122853
"57",2015-01-29,"Metro1",26639
"58",2015-01-29,"RERA",49313
"59",2015-01-30,"Metro1",16557
"60",2015-01-30,"RERA",120226
"61",2015-01-31,"Metro1",6478
"62",2015-01-31,"RERA",47616
"63",2015-02-01,"Metro1",3375
"64",2015-02-01,"RERA",27128
"65",2015-02-02,"Metro1",14919
"66",2015-02-02,"RERA",119557
"67",2015-02-03,"Metro1",16095
"68",2015-02-03,"RERA",112409
"69",2015-02-04,"Metro1",16242
"70",2015-02-04,"RERA",118598
"71",2015-02-05,"Metro1",16647
"72",2015-02-05,"RERA",124151
"73",2015-02-06,"Metro1",16076
"74",2015-02-06,"RERA",121514
"75",2015-02-07,"Metro1",6070
"76",2015-02-07,"RERA",46213
"77",2015-02-08,"Metro1",3311
"78",2015-02-08,"RERA",26279
"79",2015-02-09,"Metro1",15668
"80",2015-02-09,"RERA",116647
"81",2015-02-10,"Metro1",16397
"82",2015-02-10,"RERA",120298
"83",2015-02-11,"Metro1",16051
"84",2015-02-11,"RERA",117835
"85",2015-02-12,"Metro1",16549
"86",2015-02-12,"RERA",122208
"87",2015-02-13,"Metro1",16068
"88",2015-02-13,"RERA",117654
"89",2015-02-14,"Metro1",5943
"90",2015-02-14,"RERA",44113
"91",2015-02-15,"Metro1",2493
"92",2015-02-15,"RERA",26958
"93",2015-02-16,"Metro1",14542
"94",2015-02-16,"RERA",105053
"95",2015-02-17,"Metro1",15062
"96",2015-02-17,"RERA",112163
"97",2015-02-18,"Metro1",13478
"98",2015-02-18,"RERA",108357
"99",2015-02-19,"Metro1",15423
"100",2015-02-19,"RERA",111645
"101",2015-02-20,"Metro1",14220
"102",2015-02-20,"RERA",105695
"103",2015-02-21,"Metro1",5275
"104",2015-02-21,"RERA",39112
"105",2015-02-22,"Metro1",3237
"106",2015-02-22,"RERA",24932
"107",2015-02-23,"Metro1",12973
"108",2015-02-23,"RERA",101131
"109",2015-02-24,"Metro1",14057
"110",2015-02-24,"RERA",105121
"111",2015-02-25,"Metro1",13622
"112",2015-02-25,"RERA",99118
"113",2015-02-26,"Metro1",14163
"114",2015-02-26,"RERA",107320
