"","date","jour","ferie","vacances","pont","mois","travaux_ete","ferie_semaine","ferie_weekend","travaux_ete_semaine","travaux_ete_weekend","pont_semaine","gratuite","greves_ratp","confinement","deconfinement","travaux_m1_semaine","travaux_m1_weekend","vacances_semaine","vacances_weekend"
"1",2015-01-01,"Jeudi",1,1,0,"01",0,1,0,0,0,0,1,0,0,0,0,0,1,0
"2",2015-01-02,"Vendredi",0,1,1,"01",0,0,0,0,0,1,0,0,0,0,0,0,1,0
"3",2015-01-03,"Samedi",0,1,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",2015-01-04,"Dimanche",0,1,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",2015-01-05,"Lundi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2015-01-06,"Mardi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2015-01-07,"Mercredi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2015-01-08,"Jeudi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2015-01-09,"Vendredi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2015-01-10,"Samedi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2015-01-11,"Dimanche",0,0,0,"01",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"12",2015-01-12,"Lundi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2015-01-13,"Mardi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2015-01-14,"Mercredi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2015-01-15,"Jeudi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2015-01-16,"Vendredi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2015-01-17,"Samedi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2015-01-18,"Dimanche",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2015-01-19,"Lundi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2015-01-20,"Mardi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2015-01-21,"Mercredi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2015-01-22,"Jeudi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2015-01-23,"Vendredi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2015-01-24,"Samedi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2015-01-25,"Dimanche",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2015-01-26,"Lundi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2015-01-27,"Mardi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2015-01-28,"Mercredi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2015-01-29,"Jeudi",0,0,0,"01",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"30",2015-01-30,"Vendredi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2015-01-31,"Samedi",0,0,0,"01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2015-02-01,"Dimanche",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2015-02-02,"Lundi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2015-02-03,"Mardi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2015-02-04,"Mercredi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2015-02-05,"Jeudi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2015-02-06,"Vendredi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",2015-02-07,"Samedi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",2015-02-08,"Dimanche",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",2015-02-09,"Lundi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2015-02-10,"Mardi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2015-02-11,"Mercredi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2015-02-12,"Jeudi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2015-02-13,"Vendredi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",2015-02-14,"Samedi",0,0,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2015-02-15,"Dimanche",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"47",2015-02-16,"Lundi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"48",2015-02-17,"Mardi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"49",2015-02-18,"Mercredi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"50",2015-02-19,"Jeudi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"51",2015-02-20,"Vendredi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"52",2015-02-21,"Samedi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"53",2015-02-22,"Dimanche",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"54",2015-02-23,"Lundi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"55",2015-02-24,"Mardi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"56",2015-02-25,"Mercredi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"57",2015-02-26,"Jeudi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"58",2015-02-27,"Vendredi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"59",2015-02-28,"Samedi",0,1,0,"02",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60",2015-03-01,"Dimanche",0,1,0,"03",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"61",2015-03-02,"Lundi",0,0,0,"03",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",2015-03-03,"Mardi",0,0,0,"03",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",2015-03-04,"Mercredi",0,0,0,"03",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2015-03-05,"Jeudi",0,0,0,"03",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",2015-03-06,"Vendredi",0,0,0,"03",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",2015-03-07,"Samedi",0,0,0,"03",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",2015-03-08,"Dimanche",0,0,0,"03",0,0,0,0,0,0,0,0,0,0,0,0,0,0
